model,holdout_n,runtime_minutes,content_ssim,style_gram_mse,pixel_content_l2,LPIPS_proxy
Gatys,12,0.1898799180984497,0.4798580544690291,1.705991053609542e-06,0.00891634717117995,0.00012993353304106373
AdaIN,12,0.015039547284444173,0.2453771804769834,1.6193202676539897e-06,0.2232239842414856,0.0002757399056558067
StyTr2,12,0.08043418327967326,0.462562579040726,1.1702304044449348e-06,0.08728863733510177,0.0002536714514462801
