method,runtime_sec,content_ssim_mean,content_ssim_img_mean,style_gram_mse_mean,style_gain_vs_input,pixel_content_l2_mean,delta_to_input_l1_mean,color_mean_l1_to_style,tLPIPS_proxy,flicker,relative_motion_error
collapse,0.44654370347658795,0.13448992942770321,0.13448992942770321,0.00014783739781639346,1.2901536490426055,0.3160655338317156,0.5052225242058436,0.3873090210060279,4.692371351971363e-08,0.03760791701023226,0.0968975915780498
optimize,21.594190349181492,0.18898516539484264,0.18898516539484264,0.00020324690886316908,0.9175585985457796,0.09527174864197151,0.24551761988550425,0.031141478141459327,1.7040091268551418e-06,0.09883704650457259,0.1634294297201214
