style_name,clip_id,verdict,fail_reasons,gram_gain_collapse_to_optimize,color_gain_collapse_to_optimize,opt_content_ssim_img_mean,opt_relative_motion_error,opt_delta_to_input_l1_mean,opt_style_gain_vs_input,opt_flicker,motion_error_delta_opt_minus_collapse,flicker_delta_opt_minus_collapse
kandinsky,clip1_park,pass,,1.371314506860285,7.407767680884727,0.12843140959739685,0.21175929572847155,0.2805865406990051,1.2073440605899124,0.11148023688130909,0.08440825674268934,0.07133404331074822
kandinsky,clip2_ocean,pass,,1.0545244520388206,6.821712279006061,0.5069922298192978,0.06378756918840939,0.21177616715431213,1.2350227831294331,0.0821023943523566,-0.02120540291070938,0.01818148874574238
kandinsky,clip3_city_flow,pass,,1.2787235035078242,7.349727960743057,0.14361111596226692,0.19577168590492672,0.27991756796836853,1.0474827110401472,0.10674838970104854,0.08126834366056654,0.07056530875464281
kandinsky,clip4_pedestrian,pass,,1.348324243370981,7.3861349201943325,0.1432070516049862,0.19179614716105992,0.256874144077301,1.230741548604568,0.10764181945059034,0.09116421391566595,0.0718141102956401
kandinsky,clip5_market,pass,,1.3271189061126434,7.227399878644869,0.10198173969984055,0.1558670683039559,0.3101603388786316,1.1031775909739978,0.09649353226025899,0.09985745367076661,0.07021716733773549
kandinsky,clip6_traffic,pass,,1.338171881654262,7.432989300748155,0.12725492417812348,0.18588991628752816,0.28172701597213745,1.1786223634117101,0.10318466441498862,0.08523045231898627,0.06869650735623306
picasso_figure_947,clip1_park,pass,,0.647884575548349,18.885839234696363,0.12333281487226486,0.21236755119429696,0.27001768350601196,0.6284112811032464,0.10880519946416219,0.08450057854255041,0.06677479917804399
picasso_figure_947,clip2_ocean,pass,,0.966126281209969,8.350072923296597,0.520155131816864,0.061481801999939814,0.1757754683494568,1.1831585101788924,0.0778046776023176,-0.026259660720825195,0.010770672311385482
picasso_figure_947,clip3_city_flow,pass,,0.6507355871777156,18.77729324777465,0.1418207988142967,0.1966068529420429,0.267129123210907,0.5372312058102628,0.10427117347717285,0.08145078106058969,0.06484463065862656
picasso_figure_947,clip4_pedestrian,pass,,0.6473766991410813,18.578436294504897,0.13775473237037658,0.19426080915662977,0.24529698491096497,0.6499045216239928,0.10596007605393727,0.09306205105450419,0.0683617072386874
picasso_figure_947,clip5_market,pass,,0.8918718901394719,28.543657865468173,0.13502258360385894,0.1478347894218233,0.27713921666145325,0.8071339515670233,0.0882454663515091,0.09111214925845465,0.059778077941801816
picasso_figure_947,clip6_traffic,pass,,0.6462196794184677,19.050314627689488,0.12214541137218475,0.18781049052874246,0.2708832919597626,0.6267968020321417,0.10086886833111446,0.08667016608847511,0.06472516225443947
picasso_window_716,clip1_park,pass,,0.3509071208107116,23.80088017066058,0.14321929439902306,0.21263489623864493,0.24909059703350067,0.4100877012045706,0.12505800194210476,0.08508162034882441,0.0845575907991992
picasso_window_716,clip2_ocean,pass,,0.9807764797338979,5.937609905808707,0.4795072674751282,0.07234381760160129,0.22506284713745117,1.3805709549530063,0.08626020203034084,-0.014843446926938161,0.020855428444014654
picasso_window_716,clip3_city_flow,pass,,0.3285430593185116,23.27844575190817,0.16420316249132155,0.19685145219167074,0.255016952753067,0.3344992337533725,0.12080966681241989,0.08184009376499389,0.08202891651954916
picasso_window_716,clip4_pedestrian,pass,,0.3281969435798035,23.14179173125974,0.15742622092366218,0.19666074381934273,0.23316690325737,0.3694345409365975,0.12358759095271428,0.09552734510766137,0.08649495161241955
picasso_window_716,clip5_market,pass,,0.3346325843776859,22.33178787164376,0.11472810208797454,0.15939117636945513,0.28324204683303833,0.357268881601906,0.10728736221790314,0.10288196884923512,0.07942625135183334
picasso_window_716,clip6_traffic,pass,,0.34985763482932913,24.115140432297412,0.1432652935385704,0.18725652827156913,0.2498142421245575,0.4037453989176096,0.11433530350526173,0.0863800247510274,0.07965968383683097
starry_night,clip1_park,pass,,0.4215722167487437,21.944514416400743,0.13632794246077537,0.18733735216988456,0.2383711040019989,0.9825485423510573,0.08816839423444536,0.06330591109063889,0.06059513034092055
starry_night,clip2_ocean,pass,,1.9898860483037184,8.205094775923943,0.30652242302894595,0.06063878701792823,0.10084400326013565,2.7447774449664095,0.07921042790015538,-0.01776430424716738,0.030140234364403613
starry_night,clip3_city_flow,pass,,0.38882503015824027,21.835587170556582,0.15275952145457267,0.17494130631287894,0.2342015504837036,0.9412569057671859,0.08587394158045451,0.06301989737484191,0.059732136420077755
starry_night,clip4_pedestrian,pass,,0.40467522540753376,21.642079222726466,0.155023767799139,0.16765300432840982,0.21076026558876038,0.8774348289615208,0.08665255457162857,0.07004943324459922,0.06139664579596785
starry_night,clip5_market,pass,,0.4024143878764766,21.30406944880854,0.11445108130574226,0.13674094941880968,0.24709156155586243,0.8188366515550735,0.07883028354909685,0.08323304230968158,0.05992702146371206
starry_night,clip6_traffic,pass,,0.4211521830804575,22.087523108797026,0.13649994879961014,0.16462232172489166,0.23847725987434387,0.9659179500650706,0.0824088884724511,0.06679314706060621,0.05862144153151247
