style_name,clip_id,method,runtime_sec,content_ssim_mean,content_ssim_img_mean,style_gram_mse_mean,style_gain_vs_input,pixel_content_l2_mean,delta_to_input_l1_mean,color_mean_l1_to_style,tLPIPS_proxy,flicker,relative_motion_error
kandinsky,clip1_park,collapse,0.4014620780944824,0.07930424734950066,0.07930424734950066,0.0002454482817393,0.8804282712316712,0.31626550257205965,0.5028566122055054,0.37515804171562195,4.9900480389750456e-08,0.04014619357056088,0.1273510389857822
kandinsky,clip1_park,optimize,21.656009197235107,0.12843140959739685,0.12843140959739685,0.00017898759220543072,1.2073440605899124,0.11944671086966992,0.2805865406990051,0.05064387246966362,1.7972074980813584e-06,0.11148023688130909,0.21175929572847155
kandinsky,clip2_ocean,collapse,0.4123380184173584,0.40662595331668855,0.40662595331668855,0.00029035234239017883,1.1711656194805502,0.35702482163906096,0.5309346914291382,0.39649027585983276,1.0392362605039631e-07,0.06392090560661422,0.08499297209911877
kandinsky,clip2_ocean,optimize,18.887041807174683,0.5069922298192978,0.5069922298192978,0.00027533960149412446,1.2350227831294331,0.0704509161412716,0.21177616715431213,0.05812181159853935,1.2620394898021914e-06,0.0821023943523566,0.06378756918840939
kandinsky,clip3_city_flow,collapse,0.4157419204711914,0.07939766570925713,0.07939766570925713,0.00024483582054017465,0.8191627886456049,0.31467041969299314,0.5051157474517822,0.3760666251182556,4.285428269036452e-08,0.03618308094640573,0.11450334224436018
kandinsky,clip3_city_flow,optimize,21.643376111984253,0.14361111596226692,0.14361111596226692,0.00019146892965409278,1.0474827110401472,0.1185686994343996,0.27991756796836853,0.05116742104291916,1.6520638913182968e-06,0.10674838970104854,0.19577168590492672
kandinsky,clip4_pedestrian,collapse,0.41029810905456543,0.09804843887686729,0.09804843887686729,0.0002443336569285748,0.9127934579946131,0.2769169807434082,0.47494935989379883,0.37718895077705383,4.027260006959447e-08,0.035827709154950246,0.10063193324539396
kandinsky,clip4_pedestrian,optimize,21.626354932785034,0.1432070516049862,0.1432070516049862,0.00018121283373034202,1.230741548604568,0.10328263100236654,0.256874144077301,0.05106716230511665,1.6981690451858513e-06,0.10764181945059034,0.19179614716105992
kandinsky,clip5_market,collapse,0.4249379634857178,0.05978470481932163,0.05978470481932163,0.00024360414580769425,0.8312575353216783,0.37693999111652376,0.5645586848258972,0.3792518973350525,1.96400103094321e-08,0.0262763649225235,0.056009614633189306
kandinsky,clip5_market,optimize,21.61262011528015,0.10198173969984055,0.10198173969984055,0.00018355864322757044,1.1031775909739978,0.1430427987128496,0.3101603388786316,0.05247418209910393,1.3770369188629654e-06,0.09649353226025899,0.1558670683039559
kandinsky,clip6_traffic,collapse,0.6736390590667725,0.08224040195345879,0.08224040195345879,0.0002439110824798263,0.8807705344657856,0.31848850548267366,0.5052414536476135,0.37478893995285034,3.521524800160276e-08,0.034488157058755554,0.10065946396854189
kandinsky,clip6_traffic,optimize,21.89284920692444,0.12725492417812348,0.12725492417812348,0.00018227186344574876,1.1786223634117101,0.12025498375296592,0.28172701597213745,0.05042237043380737,1.552062927759026e-06,0.10318466441498862,0.18588991628752816
picasso_figure_947,clip1_park,collapse,0.4025712013244629,0.080796729773283,0.080796729773283,0.0001857070196274435,0.9699432658531482,0.30213435292243956,0.4916302561759949,0.3565530776977539,5.5722937967554266e-08,0.04203040028611819,0.12786697265174654
picasso_figure_947,clip1_park,optimize,21.719679832458496,0.12333281487226486,0.12333281487226486,0.0002866359636209381,0.6284112811032464,0.1080840140581131,0.27001768350601196,0.01887938752770424,1.93465838391502e-06,0.10880519946416219,0.21236755119429696
picasso_figure_947,clip2_ocean,collapse,0.41088008880615234,0.4040388882160187,0.4040388882160187,0.0002330579144654621,1.2246416779979465,0.34737429916858675,0.5218758583068848,0.3814547657966614,1.2040560035428723e-07,0.06703400529093212,0.08774146272076501
picasso_figure_947,clip2_ocean,optimize,18.915204763412476,0.520155131816864,0.520155131816864,0.00024122924611219787,1.1831585101788924,0.05176761262118816,0.1757754683494568,0.04568280652165413,1.2209666174890622e-06,0.0778046776023176,0.061481801999939814
picasso_figure_947,clip3_city_flow,collapse,0.4141209125518799,0.08313330709934234,0.08313330709934234,0.00018503570423490602,0.8255752665076624,0.3013808637857437,0.4937429428100586,0.3576248288154602,5.214355998835648e-08,0.039426542818546295,0.1151560718814532
picasso_figure_947,clip3_city_flow,optimize,21.706551790237427,0.1418207988142967,0.1418207988142967,0.0002843485247785793,0.5372312058102628,0.10641805343329906,0.267129123210907,0.019045600667595863,1.7781009470733504e-06,0.10427117347717285,0.1966068529420429
picasso_figure_947,clip4_pedestrian,collapse,0.44476985931396484,0.09918018579483032,0.09918018579483032,0.00018707422650550144,1.0039047165062713,0.26450852751731874,0.4637983441352844,0.3588438928127289,4.6001088962712956e-08,0.03759836881524987,0.10119875810212559
picasso_figure_947,clip4_pedestrian,optimize,21.609530925750732,0.13775473237037658,0.13775473237037658,0.000288972752268819,0.6499045216239928,0.09272991679608822,0.24529698491096497,0.019315075129270554,1.8682828163542176e-06,0.10596007605393727,0.19426080915662977
picasso_figure_947,clip5_market,collapse,0.42388105392456055,0.06216188855469227,0.06216188855469227,0.00018303736418602058,0.9049886654021608,0.36326128244400024,0.5532628893852234,0.3609588146209717,2.3712849757847227e-08,0.02846738840970728,0.05672264016336865
picasso_figure_947,clip5_market,optimize,21.659838914871216,0.13502258360385894,0.13502258360385894,0.0002052283138527855,0.8071339515670233,0.11225368827581406,0.27713921666145325,0.012645849958062172,1.3898008243510656e-06,0.0882454663515091,0.1478347894218233
picasso_figure_947,clip6_traffic,collapse,0.41138792037963867,0.08409365862607956,0.08409365862607956,0.0001845428831074969,0.9699438472628927,0.3042555868625641,0.49393028020858765,0.35617882013320923,3.9601310872525474e-08,0.03614370607667499,0.10114032444026735
picasso_figure_947,clip6_traffic,optimize,21.748505115509033,0.12214541137218475,0.12214541137218475,0.00028557298544910735,0.6267968020321417,0.10851971544325352,0.2708832919597626,0.0186967421323061,1.680264694591137e-06,0.10086886833111446,0.18781049052874246
picasso_window_716,clip1_park,collapse,0.40413904190063477,0.0836885116994381,0.0836885116994381,9.233427079379907e-05,1.168650269214065,0.29557095766067504,0.48636293411254883,0.3661414086818695,5.364005101821729e-08,0.040500411142905555,0.12755327588982052
picasso_window_716,clip1_park,optimize,21.742084741592407,0.14321929439902306,0.14321929439902306,0.0002631302282509296,0.4100877012045706,0.10208390932530165,0.24909059703350067,0.015383523888885975,2.218535630365497e-06,0.12505800194210476,0.21263489623864493
picasso_window_716,clip2_ocean,collapse,0.4028818607330322,0.3866866022348404,0.3866866022348404,0.00012288316871490675,1.4076305697375409,0.34248891174793245,0.517624020576477,0.3925015926361084,1.1844437055843729e-07,0.06540477358632618,0.08718726452853945
picasso_window_716,clip2_ocean,optimize,18.694233179092407,0.4795072674751282,0.4795072674751282,0.00012529171656751713,1.3805709549530063,0.0719829924404621,0.22506284713745117,0.06610430777072906,1.4459346162867505e-06,0.08626020203034084,0.07234381760160129
picasso_window_716,clip3_city_flow,collapse,0.40990114212036133,0.08590846061706543,0.08590846061706543,9.143603616394103e-05,1.018129052694693,0.2960642784833908,0.48958128690719604,0.36837515234947205,5.168655488792714e-08,0.03878075029287073,0.11501135842667685
picasso_window_716,clip3_city_flow,optimize,21.527370929718018,0.16420316249132155,0.16420316249132155,0.00027830761773998345,0.3344992337533725,0.10583200845867395,0.255016952753067,0.015824731439352036,2.0672820003003126e-06,0.12080966681241989,0.19685145219167074
picasso_window_716,clip4_pedestrian,collapse,0.5106627941131592,0.10195238664746284,0.10195238664746284,9.361174782497982e-05,1.125648937820674,0.25875005424022673,0.4586716592311859,0.36831098794937134,4.6099380313080474e-08,0.037092639340294734,0.10113339871168137
picasso_window_716,clip4_pedestrian,optimize,24.01708984375,0.15742622092366218,0.15742622092366218,0.0002852304070961509,0.3694345409365975,0.09151540827006102,0.23316690325737,0.0159154050052166,2.1978369709864232e-06,0.12358759095271428,0.19666074381934273
picasso_window_716,clip5_market,collapse,0.43188905715942383,0.06372889690101147,0.06372889690101147,9.095808379242954e-05,1.0676452272761086,0.3563660174608231,0.548212468624115,0.3708716034889221,2.3152413517222058e-08,0.027861110866069794,0.05650920752022001
picasso_window_716,clip5_market,optimize,23.282097101211548,0.11472810208797454,0.11472810208797454,0.00027181478444958883,0.357268881601906,0.12799565568566323,0.28324204683303833,0.016607340425252914,1.7302548182366688e-06,0.10728736221790314,0.15939117636945513
picasso_window_716,clip6_traffic,collapse,0.46085619926452637,0.08677468746900559,0.08677468746900559,9.215137253704596e-05,1.1540276921913353,0.2976440221071243,0.4886484742164612,0.36569643020629883,3.777849065676896e-08,0.03467561966843075,0.10087650352054173
picasso_window_716,clip6_traffic,optimize,23.054863691329956,0.1432652935385704,0.1432652935385704,0.0002633967744679922,0.4037453989176096,0.10254371892660856,0.2498142421245575,0.015164598822593689,1.9017077824577832e-06,0.11433530350526173,0.18725652827156913
starry_night,clip1_park,collapse,0.7613711357116699,0.07535478323698044,0.07535478323698044,4.7046567274264824e-05,2.330676698594335,0.3069362580776215,0.496560662984848,0.43169450759887695,2.607594515622067e-08,0.027573263893524807,0.12403144107924567
starry_night,clip1_park,optimize,23.87262511253357,0.13632794246077537,0.13632794246077537,0.000111597883838499,0.9825485423510573,0.08525001220405101,0.2383711040019989,0.01967209205031395,1.8017307941894007e-06,0.08816839423444536,0.18733735216988456
starry_night,clip2_ocean,collapse,0.41508984565734863,0.41648837476968764,0.41648837476968764,5.906433536438271e-05,1.379364133592574,0.343424990773201,0.5179964900016785,0.44977182149887085,6.360019631933432e-08,0.04907019353575177,0.0784030912650956
starry_night,clip2_ocean,optimize,19.90734314918518,0.30652242302894595,0.30652242302894595,2.968227020573977e-05,2.7447774449664095,0.0157275321893394,0.10084400326013565,0.05481616407632828,1.853574234347535e-06,0.07921042790015538,0.06063878701792823
starry_night,clip3_city_flow,collapse,0.41735076904296875,0.07526236772537231,0.07526236772537231,4.735112191156077e-05,2.4207724111385582,0.3056762367486954,0.4986119270324707,0.43288499116897583,2.4415082597626124e-08,0.02614180516037676,0.11192140893803702
starry_night,clip3_city_flow,optimize,21.597158908843994,0.15275952145457267,0.15275952145457267,0.00012178002504697361,0.9412569057671859,0.08275192771106958,0.2342015504837036,0.019824746996164322,1.6929065698908137e-06,0.08587394158045451,0.17494130631287894
starry_night,clip4_pedestrian,collapse,0.4122469425201416,0.09413616061210632,0.09413616061210632,4.7066932966117746e-05,2.1682444930447327,0.2666190147399902,0.4666314125061035,0.4326677918434143,2.2330487385128588e-08,0.025255908775660727,0.0976035710838106
starry_night,clip4_pedestrian,optimize,22.335392951965332,0.155023767799139,0.155023767799139,0.00011630791808102002,0.8774348289615208,0.0706770421937108,0.21076026558876038,0.01999196968972683,1.7313332768430378e-06,0.08665255457162857,0.16765300432840982
starry_night,clip5_market,collapse,0.4379398822784424,0.06036864928901196,0.06036864928901196,4.6438215870239224e-05,2.0348095799358448,0.36348496973514555,0.5552926063537598,0.4344345033168793,1.112722111981965e-08,0.018903262085384794,0.0535079071091281
starry_night,clip5_market,optimize,21.828069925308228,0.11445108130574226,0.11445108130574226,0.00011539899484034775,0.8188366515550735,0.09032170027494431,0.24709156155586243,0.02039209008216858,1.4568921768740338e-06,0.07883028354909685,0.13674094941880968
starry_night,clip6_traffic,collapse,0.4066920280456543,0.07860235497355461,0.07860235497355461,4.6815252367196075e-05,2.293512865112088,0.3093259662389755,0.49924951791763306,0.43150678277015686,1.842533552892039e-08,0.023787446940938633,0.09782917466428545
starry_night,clip6_traffic,optimize,21.72467613220215,0.13649994879961014,0.13649994879961014,0.00011115994229157877,0.9659179500650706,0.08502031918615102,0.23847725987434387,0.019536223262548447,1.587576118961604e-06,0.0824088884724511,0.16462232172489166
