method,pairs,elapsed_sec_mean,ssim_content_output_mean,color_mean_l1_mean,color_std_l1_mean,color_hist_emd_mean
BASE,12,11.4741161664327,0.3275355150302251,0.13860184932127595,0.05748795586017271,0.15489916483561197
A_ONLY,12,15.516013344128927,0.354823915908734,0.14087559779485068,0.055509474438925586,0.15687345716688367
B_ONLY,12,11.506155530611673,0.3424817584455013,0.01850476166388641,0.03994732676073909,0.06900743272569447
A_B,12,15.34152102470398,0.36227477217713994,0.01934477436589077,0.040583181738232575,0.07055455525716146
